cement,water,superplastic,age,strength
313.8,169.9,10.1,28.0,3
164.0,181.0,13.0,28.0,5
297.2,174.8,9.5,56.0,1
231.8,174.0,6.7,3.0,5
203.5,203.5,0.0,7.0,2
310.0,168.0,22.0,28.0,5
349.0,192.0,0.0,90.0,3
480.0,192.0,0.0,3.0,1
298.1,163.6,12.8,28.0,5
446.0,162.0,11.6,28.0,5
381.4,185.7,0.0,7.0,4
475.0,162.0,9.5,28.0,1
500.0,200.0,0.0,3.0,4
261.0,201.0,9.0,28.0,5
359.0,154.0,10.9,56.0,5
237.5,228.0,0.0,90.0,2
393.0,192.0,0.0,3.0,1
286.3,144.7,11.2,56.0,4
213.7,181.7,6.9,56.0,1
173.8,172.3,9.7,56.0,5
238.1,186.7,7.0,3.0,3
251.4,188.5,6.4,14.0,1
387.0,157.0,13.9,56.0,1
531.3,141.8,25.0,7.0,4
304.0,228.0,0.0,129.5,1
525.0,189.0,0.0,90.0,4
145.0,184.0,5.7,28.0,3
212.0,203.5,0.0,3.0,4
374.0,170.1,10.1,7.0,2
165.0,182.0,12.0,28.0,2
424.0,168.0,8.9,28.0,4
150.0,173.8,11.9,28.0,3
212.0,203.5,0.0,7.0,1
272.8,185.7,0.0,7.0,4
284.0,179.0,5.5,28.0,2
116.0,192.0,0.0,3.0,2
260.0,171.0,10.0,28.0,4
376.0,214.6,0.0,28.0,2
379.5,153.9,15.9,7.0,3
233.8,197.9,4.6,56.0,4
181.9,185.7,0.0,28.0,2
500.0,200.0,0.0,90.0,1
167.0,164.0,7.9,14.0,1
212.6,159.4,10.4,3.0,5
297.2,174.8,9.5,28.0,5
153.1,178.5,8.0,28.0,3
173.0,192.0,0.0,28.0,4
525.0,189.0,0.0,7.0,2
289.0,192.0,0.0,28.0,5
228.0,185.7,0.0,28.0,5
182.0,170.2,8.2,56.0,4
144.0,178.0,7.0,28.0,3
155.0,193.0,9.0,28.0,4
251.4,188.5,6.4,3.0,5
475.0,181.1,8.9,56.0,4
190.0,228.0,0.0,129.5,3
157.0,192.0,0.0,28.0,5
355.0,145.0,13.1,28.0,5
202.0,206.0,1.7,56.0,3
446.0,162.0,11.6,56.0,1
425.0,151.4,18.6,91.0,3
190.7,162.1,7.8,100.0,2
325.0,184.0,0.0,28.0,1
251.4,188.5,6.4,100.0,5
525.0,189.0,0.0,129.5,3
212.5,159.3,8.7,56.0,1
149.0,176.0,13.0,28.0,2
375.0,127.14999999999998,23.4,56.0,2
173.5,164.8,6.5,100.0,5
165.0,163.8,0.0,56.0,1
168.0,127.14999999999998,5.7,3.0,1
157.0,200.0,9.0,28.0,3
272.6,198.7,10.6,28.0,1
251.8,146.1,12.4,100.0,2
322.0,203.0,0.0,28.0,3
238.1,185.7,0.0,7.0,1
424.0,168.0,8.9,56.0,3
339.0,197.0,0.0,129.5,5
331.0,192.0,0.0,3.0,3
133.1,195.7,3.1,28.0,4
212.1,180.3,5.7,28.0,5
165.0,175.1,8.1,56.0,1
145.0,181.0,11.0,28.0,3
277.0,191.0,0.0,3.0,5
339.0,197.0,0.0,129.5,5
143.6,158.4,17.9,28.0,5
210.7,185.7,0.0,7.0,1
260.9,200.6,8.6,28.0,2
305.3,203.5,0.0,3.0,3
166.1,176.5,4.5,100.0,1
500.0,151.0,9.0,28.0,4
475.0,228.0,0.0,7.0,5
229.7,195.2,6.1,100.0,4
439.0,186.0,11.1,7.0,4
393.0,192.0,0.0,3.0,4
238.1,186.7,7.0,28.0,2
491.0,201.0,3.9,56.0,1
491.0,210.0,3.9,56.0,3
388.6,157.9,12.1,56.0,2
295.8,185.7,0.0,7.0,3
250.0,187.4,5.5,56.0,5
339.0,197.0,0.0,14.0,1
332.5,228.0,0.0,129.5,5
167.0,164.0,7.9,3.0,5
380.0,228.0,0.0,129.5,1
380.0,228.0,0.0,129.5,2
288.0,177.0,7.0,28.0,1
212.6,159.4,10.4,100.0,3
200.0,192.0,0.0,90.0,5
387.0,157.0,13.9,3.0,1
296.0,186.0,0.0,7.0,4
322.2,196.0,10.4,28.0,4
251.4,188.5,5.8,14.0,2
446.0,162.0,11.6,3.0,1
304.0,228.0,0.0,129.5,3
310.0,192.0,0.0,3.0,3
405.0,175.0,0.0,28.0,3
321.0,190.0,5.0,28.0,2
275.0,183.0,0.0,7.0,1
149.0,182.9,7.1,28.0,2
186.2,185.7,0.0,7.0,3
446.0,162.0,11.6,7.0,5
401.8,147.4,11.4,7.0,5
331.0,192.0,0.0,3.0,1
198.6,192.0,0.0,129.5,3
222.4,189.3,4.5,100.0,2
173.8,172.3,9.7,14.0,5
255.0,192.0,0.0,28.0,1
255.3,188.6,6.5,28.0,3
322.0,196.0,10.0,28.0,5
266.2,177.9,10.4,28.0,2
480.0,192.0,0.0,3.0,3
250.0,191.8,5.3,3.0,1
190.7,162.1,7.8,28.0,2
214.9,155.6,9.6,14.0,2
277.2,160.7,11.2,100.0,1
385.0,158.0,20.0,28.0,2
307.0,193.0,0.0,3.0,1
295.7,171.5,8.9,28.0,2
246.8,143.3,12.0,3.0,1
525.0,189.0,0.0,28.0,3
250.0,182.0,0.0,7.0,1
251.4,192.9,5.8,56.0,2
540.0,173.0,0.0,14.0,2
190.3,166.6,9.9,28.0,4
387.0,157.0,14.3,7.0,3
173.0,192.0,0.0,7.0,1
166.1,176.5,4.5,56.0,1
310.0,192.0,0.0,28.0,3
254.0,198.0,0.0,3.0,3
190.3,161.9,9.9,14.0,1
145.0,202.0,8.0,28.0,1
277.1,160.6,11.8,3.0,2
289.0,192.0,0.0,3.0,2
339.2,185.7,0.0,28.0,2
200.0,180.0,0.0,7.0,4
295.8,185.7,0.0,28.0,4
230.0,195.5,4.6,14.0,3
425.0,151.4,18.6,7.0,3
238.1,186.7,7.0,56.0,3
284.0,179.0,5.5,3.0,1
349.0,192.0,0.0,3.0,1
152.0,168.0,18.0,28.0,3
160.2,203.2,11.3,28.0,1
202.0,206.0,1.7,7.0,3
194.7,170.2,7.5,3.0,3
156.0,221.0,7.0,28.0,1
222.4,189.3,4.5,14.0,5
143.8,178.1,7.5,28.0,2
168.9,158.3,10.8,100.0,1
266.0,228.0,0.0,90.0,3
194.7,165.6,7.5,56.0,1
349.0,192.0,0.0,28.0,1
380.0,228.0,0.0,7.0,1
151.0,167.0,12.0,28.0,2
376.0,214.6,0.0,3.0,3
212.0,159.0,7.8,28.0,2
310.0,192.0,0.0,3.0,5
307.0,193.0,0.0,129.5,3
166.0,183.2,12.7,28.0,4
252.5,185.7,0.0,7.0,4
475.0,181.1,8.9,28.0,5
229.7,195.2,6.1,28.0,3
158.8,185.7,0.0,7.0,3
139.9,200.3,7.4,28.0,2
349.0,192.0,0.0,3.0,1
157.0,192.0,0.0,3.0,2
122.6,203.5,0.0,7.0,2
218.9,158.5,11.3,14.0,4
331.0,192.0,0.0,90.0,5
295.0,185.0,0.0,28.0,3
173.5,164.8,6.5,56.0,5
374.3,190.2,6.7,28.0,2
287.3,187.6,9.2,28.0,4
298.1,186.4,6.1,28.0,3
190.0,228.0,0.0,129.5,1
350.0,186.0,0.0,28.0,1
303.6,213.5,6.2,28.0,3
350.0,203.0,0.0,28.0,5
168.9,158.3,10.8,3.0,1
339.0,185.0,0.0,7.0,5
252.3,146.3,14.2,3.0,5
380.0,228.0,0.0,129.5,1
500.0,200.0,0.0,129.5,2
249.1,158.1,12.8,28.0,3
167.0,164.0,7.9,56.0,2
381.4,185.7,0.0,28.0,3
500.0,200.0,0.0,28.0,5
212.0,203.5,0.0,28.0,1
255.0,192.0,0.0,7.0,1
220.8,185.7,0.0,7.0,5
192.0,192.0,0.0,28.0,4
213.7,154.8,10.2,100.0,5
190.3,161.9,9.9,3.0,1
540.0,162.0,2.5,28.0,1
214.9,155.6,9.6,28.0,4
289.0,192.0,0.0,7.0,2
108.3,203.5,0.0,28.0,5
210.7,185.7,0.0,28.0,3
170.3,185.7,0.0,28.0,4
140.0,232.35,6.0,28.0,1
540.0,173.0,0.0,90.0,2
135.7,185.7,0.0,28.0,4
150.9,166.6,11.6,28.0,2
469.0,137.8,25.0,7.0,4
290.4,168.1,9.4,100.0,4
167.0,164.0,7.9,100.0,2
250.2,203.5,0.0,7.0,3
236.0,194.0,0.0,28.0,1
192.0,192.0,0.0,7.0,1
333.0,167.0,17.9,28.0,4
158.8,185.7,0.0,28.0,3
252.3,146.3,14.2,28.0,3
446.0,162.0,11.6,7.0,3
254.0,198.0,0.0,129.5,3
349.0,192.0,0.0,129.5,2
213.5,159.2,11.7,3.0,3
251.4,188.5,5.8,28.0,4
194.7,170.2,7.5,56.0,2
135.0,196.0,6.0,28.0,5
277.1,160.6,11.8,28.0,3
251.4,188.5,5.8,100.0,3
387.0,157.0,14.3,3.0,3
525.0,189.0,0.0,3.0,4
151.0,167.0,16.0,28.0,3
146.5,201.9,8.8,28.0,2
313.3,178.5,8.0,28.0,4
250.2,203.5,0.0,28.0,3
374.0,190.0,7.0,28.0,2
146.0,202.0,3.0,28.0,3
168.9,158.3,10.8,28.0,4
212.1,180.3,5.7,14.0,3
400.0,187.0,0.0,7.0,3
212.6,159.4,10.4,56.0,3
275.0,183.0,0.0,28.0,2
540.0,173.0,0.0,129.5,2
376.0,214.6,0.0,56.0,1
314.0,170.0,10.0,28.0,1
298.0,164.0,13.0,28.0,1
251.4,192.9,5.8,100.0,1
296.0,221.4,10.5,28.0,1
251.4,192.9,5.8,14.0,3
153.0,192.0,0.0,3.0,2
314.0,178.9,8.0,28.0,5
190.3,166.6,9.9,100.0,2
446.0,162.0,11.6,3.0,3
307.0,193.0,0.0,90.0,3
516.0,162.0,8.3,28.0,3
168.0,127.14999999999998,5.7,56.0,3
427.5,228.0,0.0,7.0,3
173.5,164.8,6.5,28.0,5
333.0,192.0,0.0,7.0,1
339.0,197.0,0.0,7.0,2
152.0,184.0,8.0,28.0,5
213.8,181.7,6.7,3.0,2
152.7,178.1,8.0,28.0,1
198.6,192.0,0.0,7.0,4
222.4,189.3,4.5,3.0,3
305.0,196.0,10.0,28.0,5
375.0,186.0,0.0,7.0,2
297.2,174.8,9.5,100.0,2
148.5,192.7,6.1,28.0,3
272.8,209.7,9.0,28.0,2
424.0,168.0,8.9,3.0,1
359.0,154.0,10.9,7.0,2
332.5,228.0,0.0,28.0,5
380.0,228.0,0.0,28.0,5
446.0,162.0,11.6,7.0,3
108.3,203.5,0.0,7.0,3
249.1,158.1,12.8,14.0,3
389.9,145.9,22.0,7.0,5
250.0,191.8,5.3,14.0,2
213.7,154.8,10.2,3.0,1
165.0,175.1,8.1,28.0,2
182.0,170.2,8.2,28.0,5
469.0,137.8,25.0,28.0,5
154.0,228.0,7.0,28.0,2
250.0,182.0,0.0,28.0,4
200.0,192.0,0.0,28.0,3
172.4,156.8,4.1,14.0,5
164.2,181.2,12.6,28.0,3
382.5,185.7,0.0,7.0,2
313.0,178.0,10.0,28.0,2
250.0,159.0,9.5,28.0,3
397.0,185.0,0.0,28.0,1
139.7,232.35,5.8,28.0,2
190.3,161.9,9.9,56.0,3
331.0,195.0,8.0,28.0,2
229.7,195.2,6.1,14.0,1
385.0,186.0,0.0,1.0,1
238.1,186.7,7.0,14.0,4
325.6,174.0,8.9,28.0,1
337.9,174.9,9.5,91.0,2
222.4,189.3,4.5,28.0,3
212.0,159.0,7.8,100.0,3
181.4,169.6,7.6,56.0,3
531.3,141.8,25.0,56.0,4
337.9,174.9,9.5,7.0,5
302.0,203.0,0.0,28.0,5
313.3,175.5,8.6,3.0,2
332.5,228.0,0.0,7.0,3
300.0,184.0,0.0,7.0,3
337.9,174.9,9.5,3.0,3
388.6,157.9,12.1,7.0,5
491.0,201.0,3.9,3.0,5
165.0,163.8,0.0,3.0,2
252.3,146.3,14.2,56.0,3
349.0,192.0,0.0,3.0,5
427.5,228.0,0.0,129.5,2
249.1,158.1,12.8,3.0,4
203.5,185.7,0.0,28.0,1
132.0,178.9,5.5,28.0,1
387.0,157.0,11.6,3.0,3
425.0,151.4,18.6,3.0,1
312.7,127.3,8.0,28.0,4
375.0,127.14999999999998,23.4,28.0,5
218.2,140.8,11.9,100.0,1
300.0,184.0,0.0,28.0,4
162.0,179.0,19.0,28.0,3
310.0,192.0,0.0,129.5,2
310.0,192.0,0.0,120.0,4
401.8,147.4,11.4,56.0,3
213.7,181.7,6.9,100.0,2
153.0,178.0,8.0,28.0,4
273.0,210.0,9.0,28.0,4
214.9,155.6,9.6,56.0,5
172.4,156.8,4.1,3.0,4
516.0,162.0,8.2,28.0,5
116.0,192.0,0.0,7.0,1
331.0,192.0,0.0,7.0,5
212.1,180.3,5.7,100.0,4
155.0,193.0,9.0,28.0,4
401.8,147.4,11.4,3.0,1
279.8,172.4,9.5,28.0,3
158.4,219.7,11.0,28.0,2
265.0,195.0,6.0,28.0,3
237.5,228.0,0.0,129.5,4
290.4,168.1,9.4,3.0,2
277.1,160.6,11.8,14.0,5
213.5,154.6,11.7,14.0,4
146.0,182.0,3.0,28.0,1
500.1,200.0,3.0,28.0,3
295.7,171.5,8.9,56.0,5
213.5,154.6,11.7,56.0,2
141.9,173.5,10.9,28.0,4
491.0,201.0,3.9,28.0,1
148.1,181.4,15.0,28.0,5
313.3,175.5,8.6,91.0,2
250.0,191.8,5.3,100.0,1
212.0,159.0,7.8,56.0,2
148.0,158.0,16.0,28.0,3
393.0,192.0,0.0,28.0,2
286.3,144.7,11.2,3.0,3
233.8,197.9,4.6,100.0,3
213.7,154.8,10.2,56.0,2
254.0,198.0,0.0,129.5,3
475.0,228.0,0.0,129.5,3
379.5,153.9,15.9,91.0,1
355.9,193.3,11.0,28.0,3
153.0,178.0,8.0,28.0,2
318.0,210.0,6.0,28.0,5
159.1,175.6,11.3,28.0,1
285.0,163.0,7.6,28.0,5
379.5,153.9,15.9,3.0,3
314.0,179.0,8.0,28.0,1
331.0,192.0,0.0,3.0,4
424.0,178.0,8.5,28.0,2
159.0,175.0,15.0,28.0,3
318.8,155.7,14.3,56.0,5
168.0,127.14999999999998,5.7,14.0,5
385.0,186.0,0.0,7.0,5
212.1,180.3,5.7,56.0,2
194.7,165.6,7.5,14.0,5
239.6,185.7,0.0,28.0,1
310.0,192.0,0.0,129.5,5
181.4,169.6,7.6,14.0,2
310.0,192.0,0.0,90.0,1
375.0,186.0,0.0,28.0,4
310.0,192.0,0.0,7.0,4
297.0,186.0,0.0,7.0,3
295.7,171.5,8.9,3.0,3
475.0,181.1,8.9,7.0,4
144.0,176.0,6.0,28.0,5
446.0,162.0,10.3,56.0,4
321.4,182.5,11.5,28.0,4
350.0,203.0,0.0,7.0,5
313.3,178.5,8.0,28.0,2
316.1,185.7,0.0,7.0,4
397.0,185.7,0.0,28.0,3
540.0,173.0,0.0,28.0,1
313.3,175.5,8.6,28.0,4
355.0,145.0,12.3,28.0,2
307.0,193.0,0.0,28.0,1
312.9,177.6,9.6,28.0,2
153.6,220.1,10.1,28.0,5
214.9,155.6,9.6,100.0,5
143.0,190.7,8.4,28.0,5
153.0,192.0,0.0,28.0,1
194.7,170.2,7.5,100.0,3
142.0,174.0,11.0,28.0,3
272.8,185.7,0.0,28.0,4
133.0,192.0,0.0,90.0,1
387.0,157.0,11.6,7.0,2
389.9,145.9,22.0,91.0,4
332.5,228.0,0.0,129.5,3
190.0,228.0,0.0,90.0,2
275.1,159.5,9.9,56.0,3
166.1,176.5,4.5,14.0,4
469.0,137.8,25.0,3.0,5
356.0,160.0,9.0,28.0,4
307.0,193.0,0.0,129.5,5
200.0,192.0,0.0,7.0,4
313.0,178.0,8.0,28.0,3
251.8,146.1,12.4,3.0,5
218.9,158.5,11.3,3.0,3
277.0,191.0,0.0,14.0,2
520.0,175.0,5.2,28.0,2
277.2,160.7,11.2,28.0,1
401.8,147.4,11.4,28.0,4
397.0,186.0,0.0,28.0,2
236.0,192.0,0.0,3.0,2
141.3,203.5,0.0,90.0,1
231.8,174.0,6.7,28.0,5
349.0,192.0,0.0,129.5,3
167.4,175.5,7.8,3.0,2
491.0,210.0,3.9,3.0,3
213.5,159.2,11.7,28.0,4
393.0,192.0,0.0,28.0,3
305.3,203.5,0.0,7.0,2
298.0,210.0,11.0,28.0,3
287.0,188.0,9.0,28.0,5
425.0,151.4,18.6,28.0,2
250.2,203.5,0.0,90.0,5
277.2,160.7,11.2,56.0,1
284.0,168.3,7.2,28.0,1
424.0,178.0,8.5,3.0,5
167.4,175.5,7.8,100.0,4
350.0,203.0,0.0,129.5,1
202.0,206.0,1.7,28.0,2
139.6,192.0,0.0,28.0,2
238.0,185.0,0.0,28.0,5
424.0,168.0,8.9,7.0,2
239.6,185.7,0.0,7.0,4
401.8,147.4,11.4,91.0,3
446.0,162.0,11.6,3.0,1
154.0,220.0,10.0,28.0,2
380.0,228.0,0.0,129.5,1
178.0,179.9,3.6,14.0,1
164.0,197.0,8.0,28.0,1
160.0,168.0,12.0,28.0,1
167.4,175.5,7.8,28.0,2
165.0,163.8,0.0,100.0,1
233.8,197.9,4.6,28.0,4
316.1,185.7,0.0,28.0,4
323.7,183.8,10.3,56.0,5
250.0,191.8,5.3,28.0,5
387.0,157.0,14.3,28.0,50
158.0,220.0,11.0,28.0,8
288.0,192.0,0.0,3.0,16
213.5,154.6,11.7,100.0,59
213.7,181.7,6.9,28.0,45
190.3,166.6,9.9,3.0,12
313.0,178.0,8.0,28.0,25
296.0,192.0,0.0,90.0,29
359.0,154.0,10.9,28.0,62
153.1,178.5,8.0,28.0,26
298.0,186.0,6.0,28.0,42
140.0,200.0,7.0,28.0,36
139.6,192.0,0.0,129.5,44
147.0,202.0,9.0,28.0,19
288.0,192.0,0.0,7.0,23
183.9,203.5,0.0,7.0,10
203.5,203.5,0.0,3.0,9
144.8,180.8,11.1,28.0,13
141.3,203.5,0.0,7.0,10
297.2,174.8,9.5,3.0,21
135.0,180.0,10.0,28.0,13
531.3,141.8,25.0,3.0,41
276.4,179.6,8.9,28.0,44
342.0,228.0,0.0,129.5,55
540.0,173.0,0.0,7.0,52
,,,,5
,,,,3
,,,,4
,,,,2
,,,,5
,,,,4
,,,,5
,,,,3
,,,,3
,,,,2
,,,,4
,,,,3
,,,,4
,,,,3
,,,,2
,,,,2
,,,,1
,,,,5
,,,,4
,,,,4
,,,,5
,,,,5
,,,,3
,,,,5
,,,,4
